SiteCode	Year	paramDB	paramWeb	paramDisplayLabel	onlineNames	onlineData
MIL	1996	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
MIL	1995	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
MIL	1994	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
MIL	1993	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
MIL	1992	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
MIL	1991	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
MIL	1990	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
MIL	1989	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
MIL	1988	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
MIL	1987	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
MIL	1986	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
MIL	1985	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
GDW	2022	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
GDW	2021	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
GDW	2020	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
GDW	2019	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
GDW	2018	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
GDW	2017	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
GDW	2016	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
GDW	2015	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
